顺序,阶段ID,中文名(建议),风险,目的【你填】,输入·吃什么【你填】,必须产出·交付物字段【你填】,完成判定·gate该查啥【你填】,当前gate(参考·只读),当前允许工具(参考·只读),当前禁止工具(参考·只读),当前人工审批(参考·只读),pentest差异【你填】,red_team差异【你填】,bug_bounty差异【你填】,备注/疑问【你填】
1,scoping,确认范围/授权(ROE),low,把『我们有权测什么』钉成结构化范围、后续不许越界,用户任务文本里的授权信息(目标/排除项/黑白盒/目标说明),targets[] / exclusions[] / engagement_type / authorization_ref / 一条scope_confirmed-claim,targets非空 且 engagement_type已填(本关不要求扫描证据),scope_status_present,query_target_data / log_operation / submit_stage_deliverable,dns_resolve / http_probe / subdomain_enum_passive / metasploit / sqlmap / credential_attack / destructive_action / exploit_validation,scope_expansion,输入=甲方给的具体目标(域名/IP/URL),输入=组织名/公司清单(可多实体)、额外产出entities[]资产归属与边界,输入=平台scope、必须产出out_of_scope防越界赏金,示例行——其余11关照这个填
2,target_intel,被动情报收集,low,（待填）,（待填）,（待填）,（待填）,scope_status_present / evidence_non_empty / out_of_scope_targets_excluded,query_target_data / dns_resolve / subdomain_enum_passive / shodan_query / log_operation / log_scan_result / submit_stage_deliverable,http_probe / metasploit / sqlmap / credential_attack / destructive_action / exploit_validation,active_scan,（待填）,（待填）,（待填）,（待填）
3,external_attack_surface,外部攻击面测绘,medium,（待填）,（待填）,（待填）,（待填）,scope_status_present / evidence_non_empty / unchecked_distinct_from_checked_empty / out_of_scope_targets_excluded / min_tool_invocations_per_check / surface_workbench_coverage（min：dns_resolve≥1、http_probe≥1、subdomain_enum_passive≥1）,query_target_data / dns_resolve / subdomain_enum_passive / http_probe / fingerprint_target / shodan_query / log_operation / log_scan_result / submit_stage_deliverable,metasploit / sqlmap / credential_attack / destructive_action / exploit_validation,active_scan / exploit_validation,（待填）,（待填）,（待填）,（待填）
4,enumeration,主动枚举(端口/服务/目录),medium,（待填）,（待填）,（待填）,（待填）,scope_status_present / evidence_non_empty / unchecked_distinct_from_checked_empty / out_of_scope_targets_excluded / min_tool_invocations_per_check（min：http_probe≥1）,query_target_data / http_probe / fingerprint_target / port_scan / dir_enum / log_operation / log_scan_result / submit_stage_deliverable,metasploit / sqlmap / credential_attack / destructive_action / exploit_validation,active_scan,（待填）,（待填）,（待填）,（待填）
5,vuln_triage,漏洞识别(非破坏),high,（待填）,（待填）,（待填）,（待填）,scope_status_present / evidence_non_empty / unchecked_distinct_from_checked_empty / out_of_scope_targets_excluded,query_target_data / nuclei_scan / vuln_match / http_probe / log_operation / log_scan_result / submit_stage_deliverable,metasploit / sqlmap / credential_attack / destructive_action,active_scan / exploit_validation,（待填）,（待填）,（待填）,（待填）
6,verification,漏洞验证(受控利用),critical,（待填）,（待填）,（待填）,（待填）,scope_status_present / evidence_non_empty / out_of_scope_targets_excluded（必带证据exploit_verified；finding≥high需poc或exploit_verified）,query_target_data / exploit_validation / log_operation / log_scan_result / submit_stage_deliverable,credential_attack / destructive_action / persistence,exploit_validation,（待填）,（待填）,（待填）,（待填）
7,access_validation,立足点验证(红队),critical,（待填）,（待填）,（待填）,（待填）,scope_status_present / evidence_non_empty / out_of_scope_targets_excluded,query_target_data / log_operation / log_scan_result / submit_stage_deliverable,destructive_action,post_exploit / exploit_validation,（待填）,（待填）,（待填）,（待填）
8,internal_discovery,内网发现(红队),critical,（待填）,（待填）,（待填）,（待填）,scope_status_present / evidence_non_empty / out_of_scope_targets_excluded,query_target_data / log_operation / log_scan_result / submit_stage_deliverable,destructive_action,post_exploit / exploit_validation,（待填）,（待填）,（待填）,（待填）
9,objective_pathing,目标路径规划(红队),critical,（待填）,（待填）,（待填）,（待填）,scope_status_present / evidence_non_empty / out_of_scope_targets_excluded,query_target_data / log_operation / log_scan_result / submit_stage_deliverable,destructive_action,post_exploit / exploit_validation,（待填）,（待填）,（待填）,（待填）
10,objective_simulation,目标模拟(不造成真实破坏),critical,（待填）,（待填）,（待填）,（待填）,scope_status_present / evidence_non_empty / out_of_scope_targets_excluded,query_target_data / log_operation / log_scan_result / submit_stage_deliverable,destructive_action,post_exploit / exploit_validation,（待填）,（待填）,（待填）,（待填）
11,cleanup,痕迹清理(红队),medium,（待填）,（待填）,（待填）,（待填）,scope_status_present / evidence_non_empty,query_target_data / log_operation / log_scan_result / submit_stage_deliverable,destructive_action,（无）,（待填）,（待填）,（待填）,（待填）
12,reporting,报告汇总,low,（待填）,（待填）,（待填）,（待填）,evidence_non_empty,query_target_data / log_operation / submit_stage_deliverable,dns_resolve / http_probe / metasploit / sqlmap / credential_attack / destructive_action / exploit_validation,（无）,（待填）,（待填）,（待填）,（待填）
